日期,点击次数,展示,点击率,排名
2025-09-10,12,296,4.05%,11.91
2025-09-09,10,263,3.8%,12.24
2025-09-08,8,237,3.38%,12.68
2025-09-07,12,173,6.94%,12.69
2025-09-06,9,137,6.57%,12.33
2025-09-05,4,55,7.27%,11.84
2025-09-04,5,38,13.16%,14.95
2025-09-03,6,44,13.64%,17.77
2025-09-02,4,30,13.33%,10.37
2025-09-01,12,439,2.73%,14.03
2025-08-31,13,517,2.51%,13.82
2025-08-30,15,417,3.6%,13.65
2025-08-29,15,392,3.83%,13.48
2025-08-28,15,391,3.84%,12.78
2025-08-27,17,407,4.18%,14.14
2025-08-26,14,430,3.26%,13.16
2025-08-25,19,455,4.18%,11.34
2025-08-24,13,497,2.62%,11.44
2025-08-23,13,467,2.78%,15.02
2025-08-22,7,380,1.84%,12.82
2025-08-21,10,357,2.8%,12.75
2025-08-20,13,394,3.3%,12.33
2025-08-19,10,362,2.76%,14.45
2025-08-18,12,385,3.12%,11.64
2025-08-17,11,364,3.02%,12.35
2025-08-16,7,332,2.11%,13.88
2025-08-15,12,429,2.8%,16.56
2025-08-14,4,329,1.22%,13.18
2025-08-13,10,326,3.07%,12.74
2025-08-12,15,351,4.27%,12.94
2025-08-11,13,363,3.58%,12.35
2025-08-10,8,303,2.64%,12.7
2025-08-09,11,313,3.51%,14.67
2025-08-08,9,323,2.79%,13.51
2025-08-07,10,338,2.96%,12.79
2025-08-06,6,417,1.44%,15.23
2025-08-05,10,453,2.21%,15.39
2025-08-04,8,482,1.66%,18.45
2025-08-03,12,296,4.05%,12.38
2025-08-02,13,263,4.94%,11.94
2025-08-01,5,263,1.9%,12.8
2025-07-31,10,332,3.01%,11.33
2025-07-30,8,311,2.57%,13.07
2025-07-29,18,472,3.81%,15.44
2025-07-28,11,324,3.4%,12.09
2025-07-27,20,286,6.99%,13.97
2025-07-26,10,359,2.79%,17.42
2025-07-25,8,267,3%,15.57
2025-07-24,12,319,3.76%,15.04
2025-07-23,11,329,3.34%,14.09
2025-07-22,14,332,4.22%,12.83
2025-07-21,10,422,2.37%,11.29
2025-07-20,14,382,3.66%,11.59
2025-07-19,17,373,4.56%,12.03
2025-07-18,14,344,4.07%,11.29
2025-07-17,10,355,2.82%,10.77
2025-07-16,18,406,4.43%,11.32
2025-07-15,12,377,3.18%,11.36
2025-07-14,18,406,4.43%,11.76
2025-07-13,10,280,3.57%,12.36
2025-07-12,9,254,3.54%,16.06
2025-07-11,7,237,2.95%,12.84
2025-07-10,8,215,3.72%,14.04
2025-07-09,2,150,1.33%,17.43
2025-07-08,8,137,5.84%,15.6
2025-07-07,8,126,6.35%,14.17
2025-07-06,9,125,7.2%,21.01
2025-07-05,3,102,2.94%,25.2
2025-07-04,5,131,3.82%,18.89
2025-07-03,9,326,2.76%,23.52
2025-07-02,2,276,0.72%,17.05
2025-07-01,9,413,2.18%,15.25
2025-06-30,13,392,3.32%,13.32
2025-06-29,10,313,3.19%,16.02
2025-06-28,4,274,1.46%,18.52
2025-06-27,6,280,2.14%,17.31
2025-06-26,5,357,1.4%,13.5
2025-06-25,12,337,3.56%,11.65
2025-06-24,11,344,3.2%,13
2025-06-23,4,342,1.17%,14.42
2025-06-22,5,253,1.98%,12.32
2025-06-21,4,223,1.79%,11.98
2025-06-20,9,313,2.88%,11.99
2025-06-19,12,389,3.08%,10.6
2025-06-18,7,444,1.58%,10.52
2025-06-17,12,398,3.02%,9.56
2025-06-16,9,438,2.05%,10.9
2025-06-15,8,329,2.43%,11.91
2025-06-14,8,263,3.04%,12.64
2025-06-13,10,306,3.27%,13.05
2025-06-12,6,345,1.74%,11.27
2025-06-11,12,388,3.09%,10.76